scinam_birdtree,Xeno_cantoID,Date,Country,Locality,LAT,LON,Elevation,Recording length,Peak_frequency,Peak_frequency2
Eremomela flavicrissalis,XC307075,2015-12-20,Ethiopia,"Melka Ghuba, Oromia",4.8704,39.3088,750,76,5684.8,5684.8
Eremomela gregalis,XC255381,2015-07-05,South Africa,"Aberdeen Plain, Western District, Eastern Cape",-33.3418,22.8961,800,13,3789.8,3789.8
Eremomela gregalis,XC340551,2016-07-25,South Africa,"Aberdeen Plain, Western District, Eastern Cape",-33.3418,22.8961,800,36,3789.8,3789.8
Eremomela gregalis,XC400137,2017-11-14,South Africa,Aardvark Kloof,-29.9814,18.3739,950,89,3962.1,3962.1
Eremomela icteropygialis,XC77947,2011-05-15,Burkina Faso,Gonse Forest,12.32,-0.858,270,24,4134.4,4134.4
Eremomela icteropygialis,XC210545,2015-01-15,Mauritania,"Rosso, Trarza",16.603,-15.928,10,53,4478.9,4478.9
Eremomela icteropygialis,XC287448,2015-10-24,South Africa,"Cradock, Stormberg District, Eastern Cape",-32.1583,25.4457,1200,20,3789.8,3789.8
Eremomela icteropygialis,XC300280,2015-12-05,Ethiopia,Awash National Park,8.898257,40.058013,N/A,29,3962.1,3962.1
Eremomela icteropygialis,XC346796,2016-11-10,Namibia,Spitzkoppe,-21.834983,15.164985,N/A,27,4134.4,4134.4
Eremomela pusilla,XC46054,2010-03-08,Ghana,Mole National Park,9.6467,-1.7606,250,55,4134.4,4134.4
Eremomela pusilla,XC299400,2016-01-10,Mali,"Campement Kangaba, Koulikoro",12.6096,-7.8648,400,44,3100.8,3100.8
Eremomela pusilla,XC425404,2018-06-22,Gambia,"Kiang West, Lower River",13.4253,-15.8467,40,40,4306.6,4306.6
Eremomela pusilla,XC425581,2018-06-25,Gambia,Tujering,13.2948,-16.7945,20,42,4478.9,4478.9
Eremomela salvadorii,ML85687,1995-04-08,Gabon,E of Leconi -on The Plateau Haut-Ogooué,-0.6,13.6666667,615,52,3617.6,3617.6
Eremomela scotops,XC339174,2016-09-12,Zambia,"Mutinondo Wilderness area, Northern Province",-12.45,31.289,N/A,32,3273,3273
Eremomela scotops,XC398036,2017-12-15,Zambia,"Mkushi farm region, Central province",-13.655075,29.358824,N/A,15,3100.8,3100.8
Eremomela usticollis,XC280282,2013-02-04,South Africa,"Polokwane Game Reserve, Polokwane, Limpopo",-23.951252,29.473472,N/A,32,4823.4,4823.4
Eremomela usticollis,XC177777,2014-04-10,South Africa,Kruger NP,-24.991,31.5879,280,25,6373.8,6373.8
Eremomela usticollis,XC364499,2016-07-04,South Africa,"Bushwillow Estate, Vaalkop Dam Nature Reserve, near Beestekraal, North West",-25.3071,27.449,1000,50,5857,5857
Eremomela usticollis,XC346794,2016-11-11,Namibia,Omaruru area east,-21.380148,16.021164,N/A,19,4823.4,4823.4
Eremophila alpestris,XC89862,1996-04-28,USA,"Hanning Flat Campground entrance, Lake Isabella, CA",35.67960961,-118.374939,803,111,3962.1,3962.1
Eremophila alpestris,XC139528,2009-05-30,Georgia,Mtskheta-Mtianeti,42.6387,44.6514,2300,42,5512.5,5512.5
Eremophila alpestris,XC162564,2013-05-25,Mongolia,Telmen Nuur,48.7875,97.258333,2179,59,5340.2,5340.2
Eremophila alpestris,XC176636,2013-06-06,China,"Haixi, Qinghai",36.7905,99.0827,3100,69,4478.9,4478.9
Eremophila alpestris,XC293914,2015-06-05,USA,"BLM grasslands, north of Glasgow, Valley County, Montana",48.5048,-106.5625,850,158,5340.2,5340.2
Eremophila bilopha,XC164197,2012-04-30,Morocco,"Tagdilt Track, Boumalne du Dades",31.3536,-5.9738,1600,10,6718.4,6718.4
eremopsaltria mongolicus,XC133401,2006-05-02,Uzbekistan,"Zaamin District, Jizzakh Province",39.8505,68.3778,900,20,3962.1,3962.1
eremopsaltria mongolicus,XC140180,2013-06-23,Turkey,"Gürpınar, Van Province",38.3437,43.7614,2000,19,4651.2,4651.2
Eremopterix griseus,XC86569,2011-03-06,India,"Sultanpur Bird Sanctuary Fields, India",28.4559,76.9001,300,38,4134.4,4134.4
